rank,model,rmse,mae,r2,within_20_pct
1,LightGBM,11.896704345576467,8.722007367651452,0.4215846596339954,41.952983725135624
2,Linear Regression,11.92066078014418,8.738605971321844,0.4192528002276358,42.31464737793852
3,IWPC Pharmacogenetic Calculator,12.033210889662318,8.677662668741885,0.40823466481475745,41.8625678119349
4,XGBoost,12.296494779067714,8.876260508494179,0.38205599321317474,41.41048824593128
5,Random Forest,13.087953336959918,9.56460931855078,0.2999485799289574,40.3254972875226
6,IWPC Clinical Formula,13.87283728539351,10.389367720721532,0.21346681657849054,33.634719710669074
