model,mae,rmse,r2,within_20_pct
2. Pharmacogenetic Baseline (Ridge),8.739891128831877,11.921547578993007,0.41916639140956524,42.31464737793852
5. LightGBM,8.832769169671836,12.085080341486622,0.4031220313506554,42.31464737793852
4. XGBoost,8.920908292615177,12.356033221438699,0.37605745548961467,42.31464737793852
1. Clinical Baseline (Linear),10.305454351117794,13.66453459605178,0.23690931156046635,35.62386980108499
3. Random Forest,9.507385498362718,13.824301402477316,0.2189607615486998,39.963833634719705
0. IWPC Clinical Calculator,12.153743624245395,16.28379932061269,-0.08367223954983194,28.119349005424954
